"SampleID","d__Bacteria.p__Armatimonadota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","Unassigned.__","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Gemmatimonadota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Myxococcota","d__Bacteria.p__Desulfobacterota","d__Bacteria.p__Deferribacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Margulisbacteria","d__Bacteria.p__Synergistota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Dependentiae","d__Bacteria.p__Deinococcota","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Halanaerobiaeota","d__Bacteria.p__Methylomirabilota","d__Bacteria.p__Nitrospirota","d__Bacteria.p__Abditibacteriota","d__Bacteria.p__Caldatribacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Rs.K70_termite_group","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Thermotogota","d__Bacteria.p__WPS.2","d__Bacteria.p__Cloacimonadota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__RCP2.54","d__Bacteria.__combo"
"PM01",0,0.044526412857331,0.891648004215518,0,0.00513766302199974,0.0357660387300751,0,0,0,0.00289816888420498,0,0,0,0,0,0,0.0200237122908708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF01",0.00275666815675756,0.0885859037401281,0.564520935777082,0.00588585903740128,0.154671434957532,0.161674862166592,0,0,0,0.00528982267918343,0,0.00134108180599017,0.0078229772016093,0.00551333631351512,0,0,0,0,0,0,0,0,0,0,0.0011920727164357,0,0,0,0,0,0,0,0,0,0,0,0.000745045447772314
"PM02",0,0,0.979683531939832,0,0.0132838445008791,0,0.00703262355928892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF02",0.000467299645277087,0.00414197412859237,0.17054312963317,0.000573504110112789,0.801015314683829,0.0139977484653455,0,0.000977081076488456,0.00174175322330551,0.00174175322330551,0.000573504110112789,0.000785913039784192,0.00106204464835702,0.000233649822638544,0.000785913039784192,0,0.000233649822638544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467299645277087,0,0,0,0,0,0.00065846768198135
"PM03",0,0.397287020861165,0.538896310759429,0.0296989004213339,0.00277463775562635,0.01829205631487,0,0.000616586167916966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124344877196588,0,0,0,0,0,0
"PF03",0.00156390977443609,0.0106466165413534,0.674827067669173,0.000721804511278195,0.116751879699248,0.132932330827068,0,0,0.0170225563909774,0.0190676691729323,0.00246616541353383,0.00306766917293233,0.00180451127819549,0.00457142857142857,0,0,0,0,0,0,0,0.00192481203007519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126315789473684
"PM04",0.00559785042543663,0.472234661889834,0.182713837886252,0,0.012987012987013,0.252351097178683,0.00447828034034931,0,0,0.0118674429019257,0,0.0134348410210479,0.00470219435736677,0,0.0176892073443798,0,0.00358262427227944,0,0,0.00559785042543663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127630989699955
"PF06",0,0.296347346657478,0.111647139903515,0,0.0572019297036527,0.216402481047553,0.0282563749138525,0,0,0,0,0,0,0,0,0.0151619572708477,0,0,0,0.0186078566505858,0,0,0.0379048931771192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218470020675396
"PM07",0,0.0774949596774194,0.840410786290323,0,0.00831653225806452,0.0724546370967742,0,0.000882056451612903,0,0,0.000441028225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF07",0.000568643379366369,0.025264012997563,0.423639317627945,0.00869212022745735,0.386108854589764,0.0861088545897644,0,0.00186839967506093,0.00129975629569456,0.0118602761982128,0.00755483346872461,0.0107229894394801,0,0.0188464662875711,0.00389926888708367,0,0.00519902518277823,0.000324939073923639,0,0,0,0.00398050365556458,0,0,0,0,0,0,0.00389926888708367,0,0,0,0,0,0,0,0.00016246953696182
"PF09",0,0.161961367013373,0.433878157503715,0,0.185735512630015,0.0609212481426449,0.00742942050520059,0,0.0133729569093611,0,0,0.025260029717682,0,0.00594353640416048,0,0,0,0,0,0.0104011887072808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950965824665676
"PM10",0,0.145846153846154,0.854153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM11",0,0.0198493027440396,0.932411156095367,0,0.0101776878092668,0.0303081421502474,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0,0,0,0,0.000674763832658569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF11",0,0.0148762014740346,0.815915497741399,0.00590972387324661,0.0320619502088782,0.03630744149713,0.00618143531569473,0.00169819651530075,0.0373603233366165,0.00726828108548721,0.00166423258499474,0.00947593655537819,0.00224161940019699,0,0.000237747512142105,0,0.00849098257650375,0,0,0,0.000645314675814285,0,0,0,0,0,0.000169819651530075,0,0,0,0.00047549502428421,0,0,0,0,0,0.0190198009713684
"PM12",0,0.00465739069686208,0.652267567095535,0,0.0541421668510217,0.148105024160214,0,0.00419165162717587,0.0105955638353612,0.0070443034290039,0,0.0404610816789893,0,0,0,0,0,0,0,0.0372009081911859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041334342434651
"PF12",0.0108143181572402,0.0306045203849897,0.516167405645074,0.00465015680761328,0.194117010922461,0.144371147399156,0.00443387044446848,0.000973288634151617,0.035254677192603,0.00140586136044122,0.00346058181031686,0.00454201362604088,0.00746187952849573,0.0241159294906456,0,0,0.00291986590245485,0,0,0,0,0.000648859089434411,0,0.00692116362063372,0,0,0,0,0,0,0,0,0,0,0,0,0.00713744998377852
"PM13",0,0.0561504142766093,0.717399617590822,0.000573613766730402,0.00235818992989165,0.1861695347355,0.00082855321861058,0.00490758444869344,0,0,0,0,0.00197578075207138,0,0,0,0.0111536010197578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184831102613129,0,0,0,0,0
"PF13",0.00341296928327645,0,0.761092150170648,0,0.0119453924914676,0.215017064846416,0,0,0,0,0,0.00341296928327645,0,0.00511945392491468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM14",0,0.0243251260753486,0.762681696825868,0.083358053989914,0.0163156333432216,0.0528033224562444,0,0.0605161673094037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM16",0,0.00336931071897664,0.94786134429787,0,0.0129632802238593,0.00228427845354349,0.00308377591228371,0.00188452972417338,0,0,0,0.0215293244246474,0,0,0,0,0.00702415624464622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF16",0.0065997525092809,0.0417296851368074,0.443008387185481,0.0183555616664375,0.318369311150832,0.0486731747559467,0,0.00453732985013062,0.0140244740822219,0.0138182318163069,0,0.0116183143132133,0,0.00653100508730923,0,0,0.0208304688574178,0,0,0,0.000206242265915028,0.000549979375773409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051148081946927
"PM17",0,0.0617875785661021,0.531852562053904,0.141845104932353,0.0719079578139981,0.192606796633642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF17",0.00117798844449431,0.0168284063499187,0.516632074942503,0.00605822628597072,0.0475682952824368,0.337577831379368,0,0,0.00117798844449431,0.0148650922757615,0.00302911314298536,0.015313849778426,0.000897515005328995,0.0119481685084423,0.0041510068996466,0,0.00841420317495933,0,0,0,0.00196331407415718,0,0,0,0.00117798844449431,0,0.00134627250799349,0,0,0,0,0,0.00179503001065799,0,0,0.00140236719582656,0.0066752678521344
"PM18",0,0.0181934931506849,0.882562785388128,0,0.0196917808219178,0.0691352739726027,0,0.00563641552511415,0,0,0,0.00478025114155251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF18",0,0.0200066688896299,0.732910970323441,0.00100033344448149,0.0350116705568523,0.0836945648549517,0,0,0,0.00133377792597533,0,0.0853617872624208,0.0156718906302101,0.00966988996332111,0,0,0.00633544514838279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00900300100033345
"PM21",0,0.152355331064017,0.6239156692654,0.000988250796090919,0.030141649280773,0.0881190293181069,0.00823542330075766,0.00752168661469199,0,0.00378829471834852,0,0,0.000658833864060613,0,0.0187767651257275,0,0.0026902382782475,0,0.0167453607115406,0.015098276051389,0,0,0.0309651916108488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF21",0,0.037221269296741,0.610634648370497,0.0165523156089194,0.181046312178388,0.09073756432247,0,0.00154373927958834,0.00643224699828473,0.0150943396226415,0,0.00222984562607204,0,0.00308747855917667,0,0,0.0166380789022298,0,0,0,0,0.0131217838765009,0,0,0,0,0,0,0,0,0,0,0,0,0.0016295025728988,0,0.00403087478559177
"PM22",0,0.0911432987920078,0.669147535352379,0.00257628671208565,0.00658384381977443,0.0405335776034808,0,0.0134539417186695,0,0.061143871300166,0.00206102936966852,0,0,0,0.025991870384153,0,0.0467739165283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040590828419305
"PF22",0,0.101174260216064,0.638703616721465,0.00638797557538751,0.119774542038516,0.0811648661343354,0,0.0100516674495068,0,0.00713950211366839,0,0.00760920620009394,0,0,0,0,0,0,0,0,0,0.00789102865194927,0,0,0,0,0,0,0,0.000187881634570221,0,0,0,0,0,0,0.0199154532644434
"PM23",0,0.323261589403974,0.535761589403974,0,0.0241721854304636,0.066887417218543,0,0,0.0133278145695364,0,0,0.0172185430463576,0,0,0,0,0,0,0.0127483443708609,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF23",0,0.0259678942398489,0.466241737488196,0,0.149197355996223,0.0257318224740321,0,0,0,0,0,0,0.0930122757318225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191218130311615,0,0,0.220727101038716
"PF24",0.0203449800973021,0.183989385227775,0.213622291021672,0,0.414860681114551,0.096859796550199,0.00574966828836798,0,0.0070765148164529,0,0,0,0,0,0,0,0,0,0,0,0,0.0106147722246793,0,0,0,0,0,0.0154798761609907,0,0,0,0,0,0,0,0,0.0314020344980097
"PM25",0,0.597757955641273,0.202386692381871,0,0.00421890067502411,0.194551591128255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108486017357763
"PM26",0,0.0906412478336222,0.821952628538417,0.00571923743500867,0.0160600808781051,0.0560369728480647,0,0.00144425187752744,0,0,0,0,0,0,0,0,0,0,0,0.00814558058925477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF26",0.00197312787747815,0.0395565160199192,0.676970778915719,0.000751667762848821,0.0839988724983557,0.0817438692098093,0,0.00836230386169313,0.0113689749130884,0.0103354317391713,0,0.0259325378182843,0.0136239782016349,0.00563750822136616,0.00497979892887344,0,0.00291271258103918,0,0,0.0133421027905666,0,0.00770459456920041,0,0,0.00216104481819036,0,0,0,0,0,0,0,0,0,0,0,0.00864417927276144
"PM27",0,0.0164787166454892,0.944329733163914,0,0.00468551461245235,0.0258497458703939,0,0.00079415501905972,0,0,0,0,0.00381194409148666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405019059720457
"PF27",0.00108744902582691,0.0356743694305996,0.20229572572119,0.00595076272466395,0.688476061017973,0.0194532547953481,0.000271862256456729,6.04138347681619e-05,6.04138347681619e-05,0.00767255701555656,0.000755172934602024,0.0102401449932034,0.00543724512913457,0.0093641443890651,0.00386648542516236,0,0.00235613955595831,0,0,0,0,0.0006343452650657,0,0,0,0.000120827669536324,0,0,0,0,0,0,0,0,0,0,0.00622262498112068
"PM28",0,0.254347084896011,0.516280259120355,0.00375042618479373,0.00110808046368906,0.0417661097852029,0.00988748721445619,0.0380156836004091,0,0.00204568700988749,0,0,0,0,0,0,0.0165359699965905,0,0,0,0,0,0.016109785202864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100153426525742
"PF29",0.00117633219621221,0.464180684625338,0.248441359840019,0.00776379249500059,0.148100223503117,0.0970474061875073,0,0,0.00152923185507587,0.00329373014939419,0.00235266439242442,0.00352899658863663,0.00129396541583343,0.00458769556522762,0,0,0.00199976473356076,0,0,0,0,0.0067050935184096,0,0,0,0,0.000352899658863663,0.00741089283613692,0,0,0,0,0,0,0,0,0.000235266439242442
"PM30",0,0.333887043189369,0.518272425249169,0,0.0365448504983389,0.0880398671096345,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF30",0,0.401356350184957,0.400123304562269,0.00431565967940814,0.0160295930949445,0.137484586929716,0.0135635018495684,0,0.00184956843403206,0,0.00123304562268804,0.0092478421701603,0.00184956843403206,0.00863131935881628,0,0,0,0,0,0,0,0.00246609124537608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184956843403206
