"sample.id","bio_or_control","category_broad","category_specific","bird_id","bird_sex","bird_age","capture_date","num_mites_feather","num_mites_total","mite_sp_fm","shannon_500","observed_features_500","chao_500","braycurtis_pc1_500","braycurtis_pc2_500","braycurtis_pc3_500","jaccard_pc1_500","jaccard_pc2_500","jaccard_pc3_500","rpca_pc1_500","rpca_pc2_500","rpca_pc3_500","shannon_995","faith_pd_995","observed_features_995","braycurtis_pc1_995","braycurtis_pc2_995","braycurtis_pc3_995","jaccard_pc1_995","jaccard_pc2_995","jaccard_pc3_995"
"PM01","biological","mites","mites","Ja","Male","ASY","04/30/21",54,510,"Amerodectes",4.36286459256805,25,25,-0.232891733467487,0.031887543363003,-0.012372750012409,0.14672336542103,0.016131849724789,0.213817355085855,-0.03573676354152,0.12883389249999,0.06378816438031,4.36286459256805,10.2390131674526,25,0.391778542347286,0.04037827919139,-0.152026426767378,0.206038856320953,0.133416231451339,-0.22877843785723
"PF01","biological","feather","feather","Ja","Male","ASY","04/30/21",54,510,"Amerodectes",5.19929405045175,85,85,0.094425128396885,-0.314394511234817,0.058768294064868,-0.130328888333277,0.102115369496828,0.121902246324272,-0.043663072550095,-0.05609560126403,0.025355766549376,5.14758114619647,32.1265973663675,80,-0.154391132773208,0.070259081512028,0.007826181145027,-0.065545658857325,0.194024056887599,0.14975589425042
"PM02","biological","mites","mites","Swamp Roach","Male","ASY","04/30/21",49,164,"Amerodectes",3.24191404906288,11,11,-0.229215798877859,0.052675778744491,-0.030703311732773,0.149598345138,-0.074462884213644,0.064079003384343,-0.048792798488702,0.126343243652393,0.063838529101172,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF02","biological","feather","feather","Swamp Roach","Male","ASY","04/30/21",49,164,"Amerodectes",5.6249373247877,161,161,0.30352797351893,-0.152986825532992,-0.053911096882516,-0.114896833952905,0.016273340358152,0.032325513052377,-0.051557825194874,-0.130673536398249,-0.07423565576651,5.55855858280387,43.854418268686,132,-0.21934921220168,-0.083022176736914,-0.056282878403695,-0.091146490125726,0.113583472951271,0.061154968924832
"PF04","biological","feather","feather","Club Sandwich","Male","ASY","04/30/21",3,490,"Amerodectes",5.57411976469547,139,139,0.222598865732171,-0.249806095148357,0.013404900719663,-0.149242448244257,0.051628975112588,0.104598559806786,-0.034167134348969,-0.106197001267309,-0.021098315163661,5.46397628926753,39.0318538239021,118,-0.196951369383566,0.043095581594458,0.013650851257609,-0.112602425760927,0.111641322429031,-0.001700124252536
"PM05","biological","mites","mites","Jonas","Male","ASY","04/30/21",41,269,"Amerodectes and Proctophyllodes",2.90936650763398,18,18,-0.250023074941903,0.057360452296874,-0.04500335670969,0.199430966882542,-0.10561159834569,-0.191311827816041,-0.076423359464358,0.125359090120722,0.0719455971907,2.97969908539456,11.749979044604,18,0.408945876589186,0.036795931902468,-0.180710587651704,0.2545538591787,-0.139665324037782,-0.087062810362832
"PF05","biological","feather","feather","Jonas","Male","ASY","04/30/21",41,269,"Amerodectes and Proctophyllodes",5.49695827636055,242,242,0.376459476860587,0.146408390987232,-0.02476535565706,-0.218121667573292,-0.037913052421639,0.01874285852478,0.084256258857888,-0.187969705769346,-0.070398918902863,5.2896465130947,45.7061160895687,158,-0.271009402615902,0.009026129297071,0.025281096300984,-0.171553769348293,0.061323303919951,0.052467471705098
"PF06","biological","feather","feather","Flatten the Curve","Male","ASY","05/05/21",31,51,"Amerodectes and Proctophyllodes",5.40632984529529,97,97,-0.196149033163526,0.008219630484379,-0.133420067109614,-0.024643917026824,-0.012886712118977,0.066986497525192,-0.038202861189701,0.054725336427024,0.020998076832013,5.4154379600567,32.3116034782401,97,0.300490424849936,-0.101078047411718,-0.114593099357715,0.018841590788393,0.13536722504784,-0.112681361155944
"PM07","biological","mites","mites","Loretta","Female","SY","05/05/21",15,204,"Amerodectes",3.61740777202449,15,15,-0.2437284444108,0.054283978887717,-0.072568134386091,0.171171034752628,-0.116401361768383,0.092372289628667,-0.051259096634572,0.135242819147675,0.067155617621706,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF07","biological","feather","feather","Loretta","Female","SY","05/05/21",15,204,"Amerodectes",6.23230064621226,157,157,0.120929087056965,-0.225409282148405,-0.023663285479965,-0.194316774944269,-0.009665112786882,0.013458448972317,0.02142880065215,-0.021739905383877,-0.036020880341187,6.12838325714114,48.5904503478121,138,-0.053091771130424,-0.088938443197305,0.094453518901315,-0.134179076155635,0.025363996266909,0.046708177925765
"PF08","biological","feather","feather","Cash","Male","ASY","05/06/21",43,210,"Amerodectes and Proctophyllodes",4.56281581591205,86,86,-0.212335030444198,0.028093497876998,-0.105481947822651,-0.010708920818015,0.003681568659963,0.007756924497935,0.036000763648592,0.12498640922847,0.038419942857502,4.59764214176318,35.7607866477562,86,0.390606511522138,-0.149680334657056,0.179081451619474,0.036856685869797,-0.063423311767096,-0.090309414233952
"PF09","biological","feather","feather","Mary Girl","Female","ASY","05/06/21",8,17,"Amerodectes",4.43837168562867,98,98,0.344950935613534,-0.180471566751278,-0.048590832917352,-0.102243843786529,0.106176119919658,0.104202294346429,-0.086648527286531,-0.12591394700081,-0.085706738827991,4.45719311255263,26.1797891982407,83,-0.254113591966608,0.030053310153778,-0.125958964839174,-0.070533019275911,0.202349979433015,0.133489971082126
"PM10","biological","mites","mites","Ms. Zip","Female","ASY","05/06/21",116,378,"Amerodectes",3.44537561595839,13,13,-0.242443174815465,0.054377071887883,-0.057993386953723,0.179893670123277,-0.128307842083441,-0.164186310077057,-0.043422237396782,0.145596190490551,0.068540378766123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM11","biological","mites","mites","Dolly","Female","ASY","05/06/21",93,263,"Amerodectes",3.96941375410954,21,21,-0.258243670158739,0.064226194389801,-0.050297255043231,0.196771260746359,-0.162216538315512,-0.080834113091569,-0.050567220301574,0.133992020321607,0.070088394788138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF11","biological","feather","feather","Dolly","Female","ASY","05/06/21",93,263,"Amerodectes",5.27966580140276,109,109,0.111892594534879,-0.146998190852029,-0.172486930077161,-0.077282781419343,0.082222850972529,0.039985547908797,-0.07298955728798,-0.05999551752914,-0.023170355974711,5.11207629486686,32.9138610678771,93,-0.021430361203883,-0.154563884004599,-0.145921978977981,-0.041066729649392,0.082347627160521,0.012046052911439
"PM12","biological","mites","mites","Shania","Female","ASY","05/06/21",41,318,"Amerodectes",2.5174339124884,9,9,-0.231390993218268,0.050575527100603,-0.032656157248604,0.167509054117697,0.014503949057732,0.23385717248272,-0.107911231397199,0.205329011749597,0.108007422600622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF12","biological","feather","feather","Shania","Female","ASY","05/06/21",41,318,"Amerodectes",5.107132057548,106,106,0.086271352292275,-0.338961037004896,0.072844100864059,-0.124738609798325,0.132285791617014,-0.002746366743147,-0.060807487262419,-0.078641062013919,-0.029583635848404,5.03561034639498,35.929121254106,98,-0.134245116052691,0.128102358093441,-0.04607880422329,-0.033614503148678,-0.052056514397973,0.106809009822403
"PM14","biological","mites","mites","Reba","Female","SY","05/06/21",267,688,"Amerodectes",4.16520235465825,34,34,-0.088531519650748,-0.184153976133515,-0.200942675317388,0.030186520864059,0.25043896315624,-0.245236741023624,0.001702981262924,0.034066046847183,0.054143575461227,4.13563778861484,15.2301749418076,34,0.05928421602136,-0.146828037322623,-0.088183451728617,0.107846628916326,-0.181115129358219,0.226350506371763
"PF14","biological","feather","feather","Reba","Female","SY","05/06/21",267,688,"Amerodectes",5.14181346548804,119,119,-0.089765143600962,-0.071454792182716,-0.251037339708388,-0.194483355110402,0.032215318741658,-0.013946402815152,0.145380332059502,0.006172537419899,0.037578520861959,5.10945460267329,33.8549163093795,106,0.214001295081357,-0.311802303171345,0.184279602476647,-0.171705536486075,-0.122060986772355,-0.107055779465629
"PF15","biological","feather","feather","DeAnthony","Male","SY","05/12/21",0,80,"na",5.09532511170263,51,51,-0.227619258880104,-0.00597746496111,-0.099850735527688,0.021114975899118,0.177664828173377,-0.148888081489212,-0.0102460955215,0.099547647721618,0.065640556925665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM16","biological","mites","mites","Lucinda","Female","ASY","05/06/21",35,125,"Amerodectes",3.6830071747659,29,29,0.027754909760472,-0.254728731207927,0.291061078996153,0.108273319571848,0.167859834167899,-0.052771691017546,-0.029259622430149,-0.009720905996803,0.001807164288231,3.61780275812095,14.6781043009064,29,0.058752501399055,0.377943294453137,0.044185038476314,0.195990092221778,-0.065422869965078,0.138659536131733
"PF16","biological","feather","feather","Lucinda","Female","ASY","05/06/21",35,125,"Amerodectes",4.54828144838844,137,137,0.421872817708216,0.009352644753844,-0.075606776497586,-0.147323536620047,0.066600184917354,-0.055029435273846,-0.058539914518707,-0.16654556137095,-0.090263056989939,4.35758865275908,30.6091703949891,101,-0.287124533215351,0.05946257998064,-0.089692526120157,-0.077686859800865,0.054272511907345,0.127572643267798
"PM17","biological","mites","mites","Rebound","Male","SY","05/12/21",63,170,"Amerodectes",3.32894868194127,27,27,0.040402139830842,-0.191041530495328,0.255693097497654,0.105563669880861,0.146528332694089,-0.064747512946632,-0.029368480001795,-0.016600701782698,-0.014654508147015,3.28049891049424,12.8385008473564,27,0.022032402561044,0.30535628702845,0.046983898992844,0.186504739803967,-0.069481683962511,0.141745361623743
"PF17","biological","feather","feather","Rebound","Male","SY","05/12/21",63,170,"Amerodectes",5.44065830682672,409,409,0.104559594563103,0.17540248648449,0.00802662417877,-0.188677774426563,-0.172023047123562,-0.031879953606984,0.278165774891659,-0.082303302671881,-0.009221654292542,5.16437047637075,56.4504736678306,201,0.13432071174124,-0.194250206864512,0.262184725673212,-0.177160922507602,-0.109769926776377,-0.08107437006718
"PM18","biological","mites","mites","Desmond","Male","ASY","05/12/21",79,491,"Amerodectes",4.08242154086738,24,24,-0.230864753444807,0.037300476527397,-0.016818315867926,0.148567338198976,0.029847707638482,0.219611849994669,-0.066475828336703,0.131178078509788,0.047904327119078,4.06802693292575,12.5510569896259,24,0.390538721530301,0.016188628609812,-0.103671188488898,0.187837338074273,0.043104639561506,-0.356961149560187
"PF18","biological","feather","feather","Desmond","Male","ASY","05/12/21",79,491,"Amerodectes",5.31544944506085,93,93,-0.151229861195005,-0.172758933317084,0.143772888878734,-0.08746946253612,0.140770836040552,-0.180343610881082,0.053443125047256,-0.002220495931215,-0.014203639557395,5.34241606909427,31.7064099056277,92,0.22177973051033,0.131730763599786,0.231055392770996,-0.005260989469906,-0.277903785589737,0.000276731462458
"PM19","biological","mites","mites","DB","Male","U","05/12/21",6,19,"Amerodectes",3.15418715354136,15,15,-0.237407261729525,0.040383266947009,-0.03404097060932,0.145119232977149,0.081787361766477,-0.047783410619186,-0.137467753887688,0.180084693150955,0.084679338346963,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF19","biological","feather","feather","DB","Male","U","05/12/21",6,19,"Amerodectes",7.39172784780047,1055,1055,-0.065316342313332,0.374375384426776,0.227737747732757,-0.132834678548742,-0.283744595151461,-0.005110635892131,0.715744826700951,-0.133972015672668,0.548031801790665,6.91201327679411,55.1090939585968,301,0.010429224194616,-0.244623247580608,0.31714846563308,-0.20860642282707,-0.127149146135287,-0.147690150584535
"PM20","biological","mites","mites","CB","Female","SY","05/12/21",37,257,"Amerodectes",4.00004282539506,28,28,-0.247403283850732,0.044090107343886,-0.01498763319353,0.170826744068076,-0.114498349458433,-0.241848709389519,-0.083398382577153,0.116183825066905,0.068889771725935,4.01424841194345,15.5455966266004,28,0.408142300033156,0.053907758808634,-0.125466520571343,0.216220800604414,-0.195223440668727,-0.096814314684248
"PF20","biological","feather","feather","CB","Female","SY","05/12/21",37,257,"Amerodectes",7.78146053226223,976,976,-0.033796464586449,0.39732996512927,0.231818681960958,-0.119869064910709,-0.285309392435513,-0.003240088213353,0.476619955180125,0.402059891748302,-0.722497003103984,7.30526940044796,65.3788571531982,337,-0.035650211880761,-0.184566469422168,0.282536202825034,-0.166715534582973,-0.145158834363318,-0.149733826995983
"PM21","biological","mites","mites","Maren","Female","ASY","05/13/21",44,136,"Amerodectes and Proctophyllodes",3.04375197046146,21,21,0.236563720288794,0.05060851252933,-0.306729669717633,0.08616215855334,0.000569083571839,0.097142707454521,-0.000823775078282,-0.021328177882663,-0.008821026587188,3.06323847933766,11.0334503805203,21,-0.064254847933925,-0.240803590406018,-0.371680946038563,0.146559229151544,0.249462449289214,-0.014188725481048
"PF21","biological","feather","feather","Maren","Female","ASY","05/13/21",44,136,"Amerodectes and Proctophyllodes",5.57120884622846,141,141,0.31013691221049,0.078984722668869,-0.019076456229494,-0.095754217823767,0.04472710632778,-0.103399588877949,-0.110713681594501,-0.147201866297295,-0.063240306933638,5.36449686974247,25.1070289493829,109,-0.20726613611515,0.079318046636105,-0.019966377647977,-0.047928342808427,-0.049971379927688,0.12978281571716
"PM22","biological","mites","mites","Rosanne","Female","SY","05/13/21",1,38,"Proctophyllodes",3.34050340067236,12,12,-0.259369072283248,0.057756939425479,-0.040162298828154,0.220646066650815,-0.125260939793031,-0.193334600952189,-0.050561179455937,0.13549046123355,0.068458420112888,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF22","biological","feather","feather","Rosanne","Female","SY","05/13/21",1,38,"Proctophyllodes",5.61051065938735,117,117,0.225530306554463,-0.089181048606954,-0.040051585410318,-0.09480999900067,0.070385987429943,-0.07226942847843,-0.043166752177938,-0.090564687569785,-0.031852758583977,5.54457991351458,32.7076084501341,104,-0.079441486636289,-0.119862702435307,0.02927383565715,-0.046567818854846,-0.088267653646982,0.053418216775666
"PM23","biological","mites","mites","Martina","Female","SY","05/13/21",6,41,"Proctophyllodes",3.44332233293785,12,12,-0.238919489826103,0.055929004451438,-0.043147327431333,0.166472848308351,-0.112436818559143,0.078573081065431,-0.049796601502124,0.139775763542956,0.065831311641062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF23","biological","feather","feather","Martina","Female","SY","05/13/21",6,41,"Proctophyllodes",4.31164869921327,72,72,-0.03112916669772,-0.287239830513202,0.326289980893167,0.004343504107034,0.107735651574146,-0.042104955133072,-0.041833416127619,-0.06787170314721,-0.024198853074532,4.26736350966903,28.5212400594836,71,0.063903541416223,0.377548897428696,0.144741268873319,0.062414759970193,-0.133465256237351,0.042820307818492
"PM24","biological","mites","mites","Yellow B","Female","ASY","05/13/21",76,663,"Amerodectes and Proctophyllodes",3.76847202589644,18,18,-0.163291770089113,-0.050030302638331,-0.245565244893261,0.146092108317255,-0.028878158511325,0.080243885906191,-0.034351634576524,0.080893025154213,0.040676349762084,3.77360906053931,13.8131186185597,18,0.151010153300643,-0.15611031946737,-0.30507079557417,0.205850580826373,0.157431863057757,-0.210371873558296
"PF24","biological","feather","feather","Yellow B","Female","ASY","05/13/21",76,663,"Amerodectes and Proctophyllodes",5.61711017612268,172,172,0.306414549606077,0.207061956392693,0.027019475375246,-0.16412797648755,-0.015764609498336,0.014079778903305,-0.130388794505235,-0.234755408658972,-0.066962470251536,5.5477728630937,25.8417362345443,128,-0.229543864211572,0.034420098760474,-0.030961046398614,-0.124426114327375,0.053013072411221,0.038972371234961
"PM25","biological","mites","mites","Tony","Male","SY","05/14/21",267,712,"Amerodectes and Proctophyllodes",2.67786420696623,17,17,-0.130822091456147,-0.170833779849526,0.241120768490731,0.145571563179562,0.047434812029638,-0.006336662226349,-0.032750578500317,0.038166828629889,0.020092936118104,2.66289658851879,10.2235196252899,17,0.119257125559795,0.290688517049131,0.038768106154458,0.253310277785196,-0.005807388466216,0.117062132761464
"PM26","biological","mites","mites","Tyus","Male","SY","05/14/21",90,150,"Amerodectes and Proctophyllodes",3.34266191535612,19,19,-0.139678225433151,-0.181783927636378,0.240687631878589,0.154412922439293,0.071566365543207,-0.118443507011003,-0.036568509604768,0.051737306836606,0.027801735368456,3.31553500657245,10.5477200634051,19,0.100289884414829,0.329146755809043,0.047072512450311,0.263369225012099,-0.085303987401299,0.168933849348473
"PF26","biological","feather","feather","Tyus","Male","SY","05/14/21",90,150,"Amerodectes and Proctophyllodes",5.75997821067157,288,288,0.320554673656136,0.21486343285127,0.005526491210303,-0.220735185603469,-0.075678351450698,-0.020583674025515,0.029443425649153,-0.205572449342517,-0.126146704717219,5.56582866061854,41.4652115769736,166,-0.205368064360976,-0.120866286286901,0.013721200923508,-0.187991602390374,0.005577855325812,-0.046157511067642
"PM27","biological","mites","mites","Grayson","Male","SY","05/14/21",7,182,"Proctophyllodes",4.66194365513719,65,65,0.26508418514222,0.037194021360131,-0.084987210291487,0.000488617948521,0.118395970079404,0.08530074231885,-0.014281757623348,-0.052862411191219,-0.026788035627709,4.63702311248884,20.7468547299418,60,-0.135716907633058,-0.113972951919435,0.02493726793306,0.042364473808843,0.179136911890209,0.11656945387039
"PF27","biological","feather","feather","Grayson","Male","SY","05/14/21",7,182,"Proctophyllodes",5.97741726477452,450,450,0.135262013456275,0.365727805493771,0.148365547736798,-0.197324326080221,-0.196223743998127,-0.010819528158586,0.076558055378476,-0.298590219590624,-0.128303572168562,5.63167459455867,36.8617137537512,193,-0.167047973139703,-0.110072592977601,0.056870795885418,-0.196563024691016,-0.044967974925092,-0.080519472524508
"PM28","biological","mites","mites","Matt Foley","Male","SY","05/14/21",12,70,"Amerodectes",2.64106236315549,13,13,-0.232312777300963,0.032199556935085,-0.008803126099659,0.158603617198255,0.018179447224635,0.26953722302672,-0.047847263255565,0.132401220460359,0.064969179054551,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF28","biological","feather","feather","Matt Foley","Male","SY","05/14/21",12,70,"Amerodectes",5.05135503092824,147,147,0.382134518043346,-0.029002694995314,-0.062057817695097,-0.201343824893198,0.059478969407987,-0.040014792682134,0.05192804924402,-0.138829303782582,-0.066572743928836,4.93900627573073,30.4552897107217,106,-0.257572540109259,0.006171914280416,-0.019079353903915,-0.145515452737468,-0.036067662131114,0.036696825475491
"PM29","biological","mites","mites","Kayce","Female","ASY","05/13/21",1,24,"Proctophyllodes",3.50141544997632,14,14,-0.228359531569412,0.041984567000381,-0.024210538949684,0.15335215145132,-0.044650998745352,0.045808072349318,-0.05085601072307,0.133328322631704,0.065956404960355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF29","biological","feather","feather","Kayce","Female","ASY","05/13/21",1,24,"Proctophyllodes",6.09777661327347,403,403,0.156630427182588,0.40098554392631,0.176643569651793,-0.180590843739988,-0.179391369637155,-0.00169863571699,-0.034621014632627,-0.342995911520408,-0.124076737871252,5.8633091408554,41.3529385298566,219,-0.27680092967024,-0.003283689538526,-0.006127000276298,-0.132306965212237,-0.016179729274443,-0.065655979546148
"PM30","biological","mites","mites","Trisha","Female","SY","05/14/21",135,397,"Amerodectes",4.3843980214824,54,54,0.298280785396515,0.127576060543743,-0.036791289829459,-0.00502612511689,0.124118901012341,0.134528211598817,-0.075206129595873,-0.082332263555783,-0.002581711564236,4.23375686917134,12.6839563205404,46,-0.195193710838247,0.104731069211047,-0.062579466980269,0.024118120685273,0.207045466814104,-0.02453699708378
