sample-id	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date	num_mites_fm	num_mites_m	mite_sp_fm	mite_sp_m
PM01	biological	mites	mites	Ja	Male	ASY	04/30/21	54	54	Amerodectes	Amerodectes
PF01	biological	feather	feather	Ja	Male	ASY	04/30/21	54	na	Amerodectes	na
PM02	biological	mites	mites	Swamp Roach	Male	ASY	04/30/21	49	49	Amerodectes	Amerodectes
PF02	biological	feather	feather	Swamp Roach	Male	ASY	04/30/21	49	na	Amerodectes	na
PM03	biological	mites	mites	Jaren	Male	ASY	04/30/21	19	19	Amerodectes	Amerodectes
PF03	biological	feather	feather	Jaren	Male	ASY	04/30/21	19	na	Amerodectes	na
PM04	biological	mites	mites	Club Sandwich	Male	ASY	04/30/21	3	3	Amerodectes	Amerodectes
PF04	biological	feather	feather	Club Sandwich	Male	ASY	04/30/21	3	na	Amerodectes	na
PM05	biological	mites	mites	Jonas	Male	ASY	04/30/21	41	41	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF05	biological	feather	feather	Jonas	Male	ASY	04/30/21	41	na	Amerodectes and Proctophyllodes	na
PM06	biological	mites	mites	Flatten the Curve	Male	ASY	05/05/21	31	31	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF06	biological	feather	feather	Flatten the Curve	Male	ASY	05/05/21	31	na	Amerodectes and Proctophyllodes	na
PM07	biological	mites	mites	Loretta	Female	SY	05/05/21	15	15	Amerodectes	Amerodectes
PF07	biological	feather	feather	Loretta	Female	SY	05/05/21	15	na	Amerodectes	na
WASH01	control	control	wash_control	wash_control	na	na	na	na	na	na	na
WASH03	control	control	wash_control	wash_control	na	na	na	na	na	na	na
KITA01	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC01	control	control	area_control	area_control	na	na	na	na	na	na	na
PM08	biological	mites	mites	Cash	Male	ASY	05/05/21	43	43	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF08	biological	feather	feather	Cash	Male	ASY	05/06/21	43	na	Amerodectes and Proctophyllodes	na
PM09	biological	mites	mites	Mary Girl	Female	ASY	05/06/21	8	8	Amerodectes	Amerodectes
PF09	biological	feather	feather	Mary Girl	Female	ASY	05/06/21	8	na	Amerodectes	na
PM10	biological	mites	mites	Ms. Zip	Female	ASY	05/06/21	116	116	Amerodectes	Amerodectes
PF10	biological	feather	feather	Ms. Zip	Female	ASY	05/06/21	116	na	Amerodectes	na
PM11	biological	mites	mites	Dolly	Female	ASY	05/06/21	93	93	Amerodectes	Amerodectes
PF11	biological	feather	feather	Dolly	Female	ASY	05/06/21	93	na	Amerodectes	na
PM12	biological	mites	mites	Shania	Female	ASY	05/06/21	41	41	Amerodectes	Amerodectes
PF12	biological	feather	feather	Shania	Female	ASY	05/06/21	41	na	Amerodectes	na
PM13	biological	mites	mites	Patsy	Female	SY	05/06/21	33	33	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF13	biological	feather	feather	Patsy	Female	SY	05/06/21	33	na	Amerodectes and Proctophyllodes	na
PM14	biological	mites	mites	Reba	Female	SY	05/06/21	267	267	Amerodectes	Amerodectes
PF14	biological	feather	feather	Reba	Female	SY	05/06/21	267	na	Amerodectes	na
PF15	biological	feather	feather	DeAnthony	Male	SY	05/12/21	0	0	na	na
WASH14	control	control	wash_control	wash_control	na	na	na	na	na	na	na
KITA02	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC02	control	control	area_control	area_control	na	na	na	na	na	na	na
PM16	biological	mites	mites	Lucinda	Female	ASY	05/06/21	35	35	Amerodectes	Amerodectes
PF16	biological	feather	feather	Lucinda	Female	ASY	05/06/21	35	na	Amerodectes	na
PM17	biological	mites	mites	Rebound	Male	SY	05/12/21	63	63	Amerodectes	Amerodectes
PF17	biological	feather	feather	Rebound	Male	SY	05/12/21	63	na	Amerodectes	na
PM18	biological	mites	mites	Desmond	Male	ASY	05/12/21	79	79	Amerodectes	Amerodectes
PF18	biological	feather	feather	Desmond	Male	ASY	05/12/21	79	na	Amerodectes	na
PM19	biological	mites	mites	DB	Male	U	05/12/21	6	6	Amerodectes	Amerodectes
PF19	biological	feather	feather	DB	Male	U	05/12/21	6	na	Amerodectes	na
PM20	biological	mites	mites	CB	Female	SY	05/12/21	37	37	Amerodectes	Amerodectes
PF20	biological	feather	feather	CB	Female	SY	05/12/21	37	na	Amerodectes	na
H2O	control	control	water_control	water_control	na	na	na	na	na	na	na
ETOH	control	control	etoh_control	etoh_control	na	na	na	na	na	na	na
PM21	biological	mites	mites	Maren	Female	ASY	05/13/21	44	44	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF21	biological	feather	feather	Maren	Female	ASY	05/13/21	44	na	Amerodectes and Proctophyllodes	na
PM22	biological	mites	mites	Rosanne	Female	SY	05/13/21	1	1	Proctophyllodes	Proctophyllodes
PF22	biological	feather	feather	Rosanne	Female	SY	05/13/21	1	na	Proctophyllodes	na
PM23	biological	mites	mites	Martina	Female	SY	05/13/21	6	6	Proctophyllodes	Proctophyllodes
PF23	biological	feather	feather	Martina	Female	SY	05/13/21	6	na	Proctophyllodes	na
PM24	biological	mites	mites	Yellow B	Female	ASY	05/13/21	76	76	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF24	biological	feather	feather	Yellow B	Female	ASY	05/13/21	76	na	Amerodectes and Proctophyllodes	na
PM25	biological	mites	mites	Tony	Male	SY	05/14/21	267	267	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF25	biological	feather	feather	Tony	Male	SY	05/14/21	267	na	Amerodectes and Proctophyllodes	na
WASH25	control	control	wash_control	wash_control	na	na	na	na	na	na	na
AKC03	control	control	area_control	area_control	na	na	na	na	na	na	na
KITB01	control	control	kit_control	kit_control	na	na	na	na	na	na	na
PM26	biological	mites	mites	Tyus	Male	SY	05/14/21	90	90	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF26	biological	feather	feather	Tyus	Male	SY	05/14/21	90	na	Amerodectes and Proctophyllodes	na
PM27	biological	mites	mites	Grayson	Male	SY	05/14/21	7	7	Proctophyllodes	Proctophyllodes
PF27	biological	feather	feather	Grayson	Male	SY	05/14/21	7	na	Proctophyllodes	na
PM28	biological	mites	mites	Matt Foley	Male	SY	05/14/21	12	12	Amerodectes	Amerodectes
PF28	biological	feather	feather	Matt Foley	Male	SY	05/14/21	12	na	Amerodectes	na
PM29	biological	mites	mites	Kayce	Female	ASY	05/13/21	1	1	Proctophyllodes	Proctophyllodes
PF29	biological	feather	feather	Kayce	Female	ASY	05/13/21	1	na	Proctophyllodes	na
PM30	biological	mites	mites	Trisha	Female	SY	05/14/21	135	135	Amerodectes	Amerodectes
PF30	biological	feather	feather	Trisha	Female	SY	05/14/21	135	na	Amerodectes	na
KITB02	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC04	control	control	area_control	area_control	na	na	na	na	na	na	na
WASH26	control	control	wash_control	wash_control	na	na	na	na	na	na	na
PCR1Blank1	control	control	pcr_control	pcr_control	na	na	na	na	na	na	na
PCR1Blank2	control	control	pcr_control	pcr_control	na	na	na	na	na	na	na

